road_type,curvature,speed_limit,lighting,weather,road_signs_present,public_road,holiday,school_season,num_reported_accidents,accident_risk
urban,0.06,35,daylight,rainy,False,True,False,True,1,0.13
urban,0.99,35,daylight,clear,True,False,True,True,0,0.35
rural,0.63,70,dim,clear,False,True,True,False,2,0.3
highway,0.07,35,dim,rainy,True,True,False,False,1,0.21
rural,0.58,60,daylight,foggy,False,False,True,False,1,0.56
highway,0.54,70,night,foggy,True,False,False,True,0,0.61
highway,0.04,45,night,foggy,False,True,True,False,2,0.2
highway,0.33,45,daylight,clear,False,True,False,True,0,0.16
rural,0.63,25,dim,clear,True,False,True,True,2,0.18
urban,0.38,45,dim,clear,True,True,True,True,2,0.15
highway,0.45,45,dim,clear,False,False,True,False,2,0.06
highway,0.26,60,,foggy,,False,False,False,0,0.32
urban,0.84,25,dim,rainy,True,True,False,True,2,0.37
rural,0.14,60,daylight,foggy,True,True,True,True,1,0.28
highway,0.08,45,dim,foggy,False,False,True,False,1,0.17
urban,0.52,60,daylight,clear,False,True,True,False,1,0.39
highway,0.35,35,daylight,foggy,False,False,True,True,1,0.23
rural,0.68,35,night,clear,False,True,True,False,3,0.51
rural,0.72,60,night,foggy,True,True,True,True,0,0.63
highway,0.86,70,night,clear,False,False,False,False,3,0.79
highway,0.06,60,dim,clear,False,True,False,False,1,0.34
highway,0.17,45,daylight,foggy,False,False,True,True,2,0.17
rural,0.16,35,night,foggy,True,False,False,False,1,0.29
urban,0.41,60,night,foggy,True,False,True,False,0,0.68
highway,,25,dim,foggy,True,True,False,False,0,0.35
highway,0.49,70,daylight,foggy,True,True,False,False,1,0.4
rural,0.39,70,dim,clear,False,False,True,True,2,0.24
rural,0.7,60,daylight,rainy,False,False,True,False,1,0.51
urban,0.12,25,night,foggy,True,True,False,False,2,0.33
highway,0.63,70,daylight,foggy,False,False,False,False,1,0.41
highway,0.95,45,daylight,foggy,True,False,True,True,2,0.38
rural,0.01,60,dim,clear,False,False,False,True,1,0.0
highway,0.45,35,night,foggy,True,False,True,True,2,0.47
urban,0.1,45,night,rainy,True,True,False,True,1,0.28
highway,0.24,70,daylight,clear,True,False,False,False,1,0.28
highway,0.56,35,daylight,rainy,False,True,False,False,1,0.29
rural,0.53,45,daylight,foggy,True,True,True,True,1,0.31
rural,0.29,25,dim,rainy,False,True,True,False,2,0.18
highway,0.52,45,daylight,rainy,False,True,True,True,1,0.26
urban,0.35,25,daylight,rainy,False,False,False,True,2,0.19
highway,0.39,70,dim,clear,False,True,True,False,1,0.44
urban,0.73,70,daylight,clear,False,False,False,True,0,0.49
urban,0.67,70,night,foggy,False,True,False,True,0,0.73
highway,0.04,45,dim,rainy,True,True,False,True,0,0.07
urban,0.6,45,night,clear,True,True,False,False,3,0.57
highway,0.54,60,night,clear,False,True,True,True,1,0.63
urban,0.01,35,night,clear,True,False,True,False,0,0.0
rural,0.57,70,daylight,clear,True,True,True,True,0,0.35
rural,0.54,70,dim,foggy,False,True,False,False,1,0.48
highway,0.57,35,daylight,foggy,False,True,False,False,2,0.34
highway,0.42,25,dim,clear,False,False,False,False,0,0.12
highway,0.7,60,night,foggy,False,True,False,False,1,0.68
highway,0.17,25,night,rainy,False,False,True,False,0,0.2
rural,0.58,45,daylight,foggy,False,True,False,True,0,0.3
rural,0.26,60,night,clear,True,True,False,False,0,0.39
rural,0.75,60,night,clear,True,True,False,False,1,0.5
rural,0.61,25,dim,rainy,False,True,False,False,0,0.24
urban,0.98,60,dim,clear,False,False,True,False,2,0.52
rural,0.05,25,night,rainy,True,False,False,False,2,0.25
urban,0.44,70,daylight,rainy,False,False,True,False,2,0.44
rural,0.3907,70,dim,foggy,True,False,False,True,1,0.39
rural,0.08,60,dim,foggy,True,True,True,False,1,0.37
urban,0.31,60,daylight,foggy,False,False,False,True,2,0.31
highway,0.38,70,night,foggy,True,False,False,False,2,0.6
highway,0.06,35,night,clear,True,False,False,False,2,0.28
urban,0.83,70,daylight,clear,True,True,False,False,1,0.37
highway,0.72,60,night,rainy,False,False,True,False,0,0.73
highway,0.46,25,daylight,clear,True,True,False,False,0,0.11
urban,0.23,25,night,clear,True,False,False,True,0,0.25
highway,0.46,35,daylight,clear,True,True,False,True,1,0.16
rural,0.87,45,dim,clear,True,True,False,True,1,0.31
highway,0.1,35,dim,rainy,False,True,True,True,1,0.16
highway,0.63,35,dim,rainy,False,False,False,False,1,0.31
highway,0.83,45,night,rainy,True,False,True,False,1,0.58
urban,0.49,45,night,rainy,True,False,False,True,0,0.46
urban,0.29,70,dim,foggy,True,True,False,False,0,0.32
rural,0.16,70,night,foggy,True,False,False,True,1,0.59
highway,0.32,60,daylight,clear,True,True,True,False,0,0.32
urban,0.1,60,dim,clear,True,True,True,False,1,0.22
highway,0.55,25,daylight,foggy,True,False,False,False,3,0.41
highway,0.65,45,daylight,foggy,True,True,True,False,1,0.3
rural,0.03,35,dim,rainy,True,False,True,True,1,0.16
highway,0.84,25,dim,rainy,False,True,True,False,1,0.39
rural,0.66,60,night,clear,True,False,False,True,2,0.6
rural,0.87,25,dim,clear,True,False,True,True,1,0.36
highway,0.37,70,night,clear,False,True,True,False,1,0.59
highway,0.29,25,dim,clear,True,False,True,False,2,0.12
urban,0.57,25,night,rainy,True,False,True,True,0,0.44
rural,0.46,45,dim,clear,False,False,False,False,2,0.19
rural,0.09,70,dim,clear,False,False,True,True,2,0.21
rural,0.13,70,dim,foggy,False,False,True,False,2,0.31
highway,0.13,70,daylight,rainy,True,False,True,True,2,0.37
highway,0.05,60,dim,clear,False,False,False,True,0,0.25
urban,0.55,35,daylight,clear,True,False,True,False,0,0.16
highway,,45,dim,foggy,True,True,True,False,1,0.37
highway,0.09,25,night,foggy,False,True,False,True,0,0.37
urban,0.53,25,night,rainy,True,False,False,True,2,0.48
rural,0.28,70,daylight,rainy,False,False,True,True,0,0.4
rural,0.67,60,daylight,clear,False,False,True,True,0,0.42
highway,1.0,60,daylight,clear,False,True,False,False,0,0.51
rural,0.43,60,daylight,rainy,True,True,True,False,0,0.43
highway,0.9,60,night,rainy,False,False,True,False,4,0.84
highway,0.41,35,night,foggy,True,True,True,False,0,0.47
urban,0.34,35,daylight,foggy,False,False,False,True,0,0.22
rural,0.52,70,daylight,rainy,True,True,True,False,3,0.5
urban,0.02,60,night,clear,False,True,True,True,1,0.45
rural,0.37,45,,rainy,True,True,True,True,2,0.42
highway,0.08,35,dim,foggy,False,False,True,False,2,0.15
highway,0.16,25,dim,clear,False,False,False,False,1,0.12
urban,0.03,60,daylight,rainy,False,True,False,True,2,0.28
rural,0.53,25,daylight,clear,False,True,False,True,2,0.21
rural,0.75,35,night,rainy,False,True,True,False,1,0.64
highway,0.34,70,dim,rainy,True,False,True,True,1,0.43
highway,0.75,70,night,foggy,False,True,False,False,2,0.84
urban,0.33,60,dim,rainy,True,False,True,True,2,0.32
urban,0.64,35,daylight,rainy,False,True,True,False,0,0.39
highway,0.14,60,dim,rainy,False,False,False,True,2,0.34
highway,0.75,70,dim,foggy,True,False,False,False,0,0.6
rural,0.79,35,night,clear,True,True,False,False,1,0.48
highway,0.63,35,dim,rainy,False,True,False,False,2,0.27
highway,0.37,25,night,rainy,False,True,False,True,2,0.29
